Reading, Author, Units, Pages, Area, Status ,,,
Arte est?tica y pol?tica en el movimiento zapatista contempor?neo, Francisco De Parres G?mez y Alessandro Zagato,0.4333,13, theory ? Postcolonial , read, , ,
Can the subaltern speak, Gayatri Spivak,1,30, theory ? Postcolonial , read, , ,
Of Grammatology, Jaques Derrida,3,90, theory ? Poststructuralism , read, , ,
On totalitarian interactivity, Lev Manovich,0.13333,4, network technology , read, , ,
Affective Networks, Jodi Dean,0.83333,25, network technology , read , , ,
Communicative Capitalism and Revolutionary Form, Jodi Dean,0.5,15, theory ? Critical Theory , read, , ,
The Temporality of Networks, Wendy Chun,0.7,22, network technology , read, , ,
Karl Marx at internet studies, Christian Fuchs and N. Dyer-Witherford,0.5,15, network technology , read , , ,
Physical Media ? Chapter 1 in protocol: how control exists after decentralization, Alexander Galloway,0.83,25, network technology , read, , ,
'Introduction' in Network Aesthetics., Patrick Jagoda,1.2,37, network technology , read, , ,
Part III. Feminist Resurgent? In Fortunes of Feminism, Nancy Fraser,2.43333,73, theory ? Critical Theory , read, , , 
More on Power Knowledge, Gayatri Spivak,1,26, theory ? Postcolonial , read, , ,
Limits and Openings of Marx in Derrida., Gayatri Spivak,0.7,22, theory ? Postcolonial , read, , ,
Foreigner Question., Jaques Derrida,1.2,35, theory ? Poststructuralism , read, , ,
Revolutions. We have never been modern, Bruno Latour,1.3,39, theory ? Critical Theory : ANT , read , , ,
Making the beings of Technology Visible, Bruno Latour,0.8,25, theory ? Critical Theory : ANT, read , , ,
Agential Realism How Material-Discursive Practices Matter, Karen Barad,1.63,53, theory ? Critical Theory : Posthumanism , read, , ,
Cognitive Assemblages - Unthought The power of the cognitive nonconscious, Katherine Hayles,2.1,63, theory ? Critical Theory : Posthumanism , read, , ,
Vibrant Matter - The Agency of Assemblages, Jane Bennett,0.6667,19, theory ? Critical Theory : Assemblage theory , read, , ,
Vibrant Matter - Political Ecologies, Jane Bennett,0.5,15, theory ? Critical Theory : Assemblage theory , read, , ,
Never Again Mexico without us?, Elena Gil,0.6,18, theory ? Postcolonial , read, , ,
Cultural Roots ? Imagined Communities: Reflections on the origin and spread of, Benedict Anderson,0.9,27, theory ? Postcolonial , read, , ,
Right of Death and Power over Life, Michel Foucault,0.85,25, theory ? Poststructuralism , read, , ,
Postcoloniality and the Artifice of History, Dipesh Chakrabarty,0.6667,20, theory ? Postcolonial , , , ,
The intimacies of four continents, Lisa Lowe,1,30, theory ? Postcolonial , , , ,
The Rhythmic Event: Art Media and the Sonic, Eleni Ikoniadou,1,30, sound studies , read, , ,
Telematic Music vs. Networked Music: Distinguishing Between Cybernetic Aspirations and Technological Music-Making., Eric Lemmon,0.73333333333333,22, network music , read, , ,
Rethinking Collaboration in Networked Music., Nicolas Makelberge,0.23333333333333,7, network music , read, , ,
TELEMATIC MUSIC TODAY, Mark Cook,0.8,24, network music , , , ,
ARTISTIC AND TECHNOLOGICAL PRECURSORS OF TELEMATIC MUSIC, Mark Cook,0.96666666666667,29, network music , , , ,
Telematic Music: Six Perspectives, Pauline Oliveros S. Weaver M. Dresser J. Pitcher J. Braasch and C. Chafe,0.96666666666667,29, network music , read, , ,
Towards Responsive Scoring Techniques in Networked Music Performance, Rebekah Wilson,0.3,9, network music , read, , ,
Becoming Latency-Native, Rebekah Wilson,0.066666666666667,2, network music , read, , ,
Scaling Up Live Internet Performance with The Global Net Orchestra, Roger Dannenberg and Tom Neuendorffer,0.23333333333333,7, network music , read, , ,
Stabilizing and Destabilizing Agents in Laptop Orchestra Improvisation, Eldad Tsabary,0.36666666666667,11, network music , read, , ,
Unlikely Publics: on the Edge of Appearance, Brandon Labelle,0.96666666666667,29, sound studies , read, , ,
Poor Acoustics: Listening from Below, Brandon Labelle,0.33333333333333,10, sound studies , read, , ,
soundtimelanguage, Christof Migone,1.5333333333333,46, sound studies , read, , ,
The Southern Question, Antonio Gramsci,1.5,45, theory ? Critical Theory , read , , ,
Network Socio-Synthesis and Emergence in NOMADS, M. Burtner,0.36666666666667,11, network music , read, , ,
Network Music and the Algorithmic Ensemble, David Ogborn,0.56666666666667,17, network music , read, , ,
The Silent Network ? The Music of Wandelweiser, Douglas Barret,0.7,21, network music , read , , ,
Estuary: Browser-based Collaborative Projectional Live Coding of Musical Patterns, David Ogborn,0.33333333333333,10, network music , read, , ,
Changing Music?s Constitution: Network Music and Radical Democratization, Shelly Knotts,0.2,6, network music , read, , ,
The Aesthetics and History of The Hub: The Effects of Changing Technology on Network Computer Music, S. Gresham-Lancaster,0.16666666666667,5, network music , , , ,
Dislocated Sound: A Survey of Improvisation in Networked Audio Platforms, Roger Mills,0.13333333333333,4, network music , , , ,
Tele-Improvisation: A Multimodal Analysis of Intercultural Improvisation in Networked Music Performance, Roger Mills,2.0666666666667,62, network music , , , ,
Intercultural Tele-Improvisation: Multi-idiomatic Approaches, Roger Mills,0.7,21, network music , , , ,
Towards a Theory of Tele-Improvisatory Collaboration, Roger Mills,0.73333333333333,22, network music , , , ,
Network Musics: Play Engagement and the Democratization of Performance, David Kim-Boyle,0.4,12, network music , read, , ,
Musical implications of media and network infrastructures Perturbations of traditional artistic roles, Atau Tanaka,0.3,9, network music , , , ,
