Reading Name, Author, Units, Pages
 Cultural Roots – Imagined Communities: Reflections on the origin and spread of,  Benedict Anderson, 0.9, 27,  theory – Postcolonial 
 Agential Realism How Material-Discursive Practices Matter,  Karen Barad, 1.63, 53,  theory – Critical Theory : Posthumanism 
 Vibrant Matter - The Agency of Assemblages,  Jane Bennett, 0.6667, 19,  theory – Critical Theory : Assemblage theory 
 Vibrant Matter - Political Ecologies,  Jane Bennett, 0.5, 15,  theory – Critical Theory : Assemblage theory 
 Breathing: Chaos and Poetry,  Franco Berardi, 2, 60,  theory – Critical Theory 
 Postcoloniality and the Artifice of History,  Dipesh Chakrabarty, 0.6667, 20,  theory – Postcolonial 
 Arte  estética y política en el movimiento zapatista contemporáneo,  Francisco De Parres Gómez y Alessandro Zagato, 0.4333, 13,  theory – Postcolonial 
 Communicative Capitalism and Revolutionary Form,  Jodi Dean, 0.5, 15,  theory – Critical Theory 
 The Desiring Machines - Chapter 1 in Anti-Oedipus : capitalism and schizophrenia,  Gilles Deleuze & Felix Guattari, 1.6666666666667, 50,  theory – Poststructuralism 
 Micropolitiques and segmentaerity - A Thousand Plateaus,  Gilles Deleuze & Felix Guattari, 0.73333333333333, 22,  theory – Poststructuralism 
 The refrain - A Thousand Plateaus,  Gilles Deleuze & Felix Guattari, 1.2, 36,  theory – Poststructuralism 
 Treaty on nomadology - A Thousand Plateaus,  Gilles Deleuze & Felix Guattari, 2, 60,  theory – Poststructuralism 
 Of Grammatology,  Jaques Derrida, 3, 90,  theory – Poststructuralism 
 Foreigner Question.,  Jaques Derrida, 1.2, 35,  theory – Poststructuralism 
 Capitalism and Fascism of Everyday Life - Resistance  Revolution and Fascism: Zapatismo and Assemblage Politics,  Anthony Faramelli, 0.66666666666667, 20,  theory – Critical Theory 
 Resistance to the Future: Constructing Space in Time - Resistance  Revolution and Fascism: Zapatismo and Assemblage Politics,  Anthony Faramelli, 0.8, 24,  theory – Critical Theory 
 Resistance: Zapatismo and Assemblage Politics - Resistance  Revolution and Fascism: Zapatismo and Assemblage Politics,  Anthony Faramelli, 0.93333333333333, 28,  theory – Critical Theory 
 Revolution and Fascism - Resistance  Revolution and Fascism: Zapatismo and Assemblage Politics,  Anthony Faramelli, 1, 30,  theory – Critical Theory 
 Right of Death and Power over Life,  Michel Foucault, 0.85, 25,  theory – Poststructuralism 
 Never Again Mexico without us?,  Elena Gil, 0.6, 18,  theory – Postcolonial 
 The Southern Question,  Antonio Gramsci, 1.5, 45,  theory – Critical Theory 
 How to open a property to the common - Chapter 6 in Assembly,  Michael Hardt & Antonio Negri, 0.73333333333333, 22,  theory – Critical Theory 
 We  Machinic Subjects - Chapter 7 in Assembly,  Michael Hardt & Antonio Negri, 0.6, 18,  theory – Critical Theory 
 Cognitive Assemblages - Unthought The power of the cognitive nonconscious,  Katherine Hayles, 2.1, 63,  theory – Critical Theory : Posthumanism 
 Revolutions. We have never been modern,  Bruno Latour, 1.3, 39,  theory – Critical Theory : ANT 
 Making the beings of Technology Visible,  Bruno Latour, 0.8, 25,  theory – Critical Theory : ANT 
 The intimacies of four continents,  Lisa Lowe, 1, 30,  theory – Postcolonial 
 Reconceiving Autonomy: Sources  Thoughts and Possibilities,  Jennifer Nedelsky, 1, 30,  theory – Feminism 
 Can the subaltern speak,  Gayatri Spivak, 1, 30,  theory – Postcolonial  
 Limits and Openings of Marx in Derrida.,  Gayatri Spivak, 0.7, 22,  theory – Postcolonial 
 Feminist Perspectives on Autonomy,  Natalie Stoljar, 1, 30,  theory – Feminism 
 Computing as If Infrastructure Mattered,  JF Blanchette, 0.1, 3,  network technology 
 A Material History of Bits,  JF Blanchette, 0.53333333333333, 16,  network technology 
 The Models - Chapter 1 in The Stack: On Software and Sovereignty,  Benjamin Bratton, 2.4666666666667, 74,  network technology 
 The Edge of Forever: Timeless Time - Chapter 7 in The Rise of The Network Society: The Information Age: Economy  Society and Culture,  Manuel Castells, 1.3333333333333, 40,  network technology 
 The Temporality of Networks,  Wendy Chun, 0.7, 22,  network technology 
 Invisibly Visible  Visibly Invisible - Chapter 1 in Programmed Visions: Software and Memory,  Wendy Chun, 1.3666666666667, 41,  network technology 
 Everything is Animated: Pervasive Media and the Networked Subject,  Beth Coleman, 0.66666666666667, 20,  network technology 
 Two Ethical Moments in Debian - Chapter 4 in Coding Freedom: The Ethics and Aesthetics of Hacking,  Gabriella Coleman, 1.2666666666667, 38,  network technology 
 The Cultural Critique of Intellectual Property Law - Conclusion in Coding Freedom: The Ethics and Aesthetics of Hacking,  Gabriella Coleman, 1.2666666666667, 38,  network technology 
 The right to infrastructure: A prototype for open source urbanism,  A Corsín Jiménez, 0.7, 21,  network technology 
 Data colonialism: Rethinking big data’s relation to the contemporary subject,  Nick Couldry & Ulises A. Mejias, 0.46666666666667, 14,  network technology 
 Anatomy of an AI: The Amazon Echo as an Anatomical Map of Human Labor  Data and Planetary Resources,  Kate Crawforf & Joler Vladan, 0.7, 21,  network technology 
 Queer Property  Queer Persons: Self-Ownership and Beyond,  Margaret Davies, 0.86666666666667, 26,  network technology 
 Affective Networks,  Jodi Dean, 0.83333, 25,  network technology 
 Cyberwar’s Subjects - In Cyberwar and Revolution: Digital Subterfuge in Global Capitalism,  N. Dyer-Witheford & S. Matviyenko, 1.4666666666667, 44,  network technology 
 Infrastructure and Modernity: Force  Time  and Social Organization in the History of Sociotechnical Systems,  PN Edwards, 1.3666666666667, 41,  network technology 
 Karl Marx at internet studies,  Christian Fuchs and N. Dyer-Witherford, 0.5, 15,  network technology 
 Physical Media – Chapter 1 in protocol: how control exists after decentralization,  Alexander Galloway, 0.83, 25,  network technology 
 Understanding Infrastructure: History  Heuristics  and Cyberinfrastructure Policy,  SJ Jackson, 0.16666666666667, 5,  network technology 
 'Introduction' in Network Aesthetics.,  Patrick Jagoda, 1.2, 37,  network technology 
 The Movement book: Two bits: The cultural significance of free software,  Christopher Kelty, 0.7, 21,  network technology 
